板块,公司全称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,地      区,省    份,城     市,所属行业
主板,吉林敖东药业集团股份有限公司,吉林省敦化市敖东大街2158号,623,吉林敖东,1996/10/28,"1,163,041,484","1,160,085,651",东北,吉林,延边朝鲜族自治州,C 制造业
主板,重庆长安汽车股份有限公司,重庆市江北区建新东路260号,625,长安汽车,1997/6/10,"4,461,410,032","3,900,643,469",西南,重庆,重庆市,C 制造业
主板,远大产业控股股份有限公司,江苏省连云港市高新技术产业开发区高新八路4号,626,远大控股,1996/11/28,"542,874,902","463,946,400",华东,江苏,连云港市,F 批发零售
主板,天茂实业集团股份有限公司,湖北省荆门市杨湾路132号,627,天茂集团,1996/11/12,"4,940,629,165","4,462,504,165",华中,湖北,荆门市,J 金融业
主板,成都高新发展股份有限公司,四川省成都市高新技术产业开发区,628,高新发展,1996/11/18,"352,280,000","187,980,340",西南,四川,成都市,E 建筑业
主板,攀钢集团钒钛资源股份有限公司,四川省攀枝花市弄弄坪,629,攀钢钒钛,1996/11/15,"8,589,746,202","7,464,393,822",西南,四川,攀枝花市,C 制造业
主板,铜陵有色金属集团股份有限公司,安徽省铜陵市长江西路,630,铜陵有色,1996/11/20,"10,526,533,308","10,526,400,476",华东,安徽,铜陵市,C 制造业
主板,顺发恒业股份公司,吉林省长春市前进大街3055号南湖新村办公室201室,631,顺发恒业,1996/11/22,"2,432,519,168","2,432,519,168",东北,吉林,长春市,K 房地产
主板,福建三木集团股份有限公司,福建省福州市开发区君竹路162号,632,三木集团,1996/11/21,"465,519,570","465,481,606",华东,福建,福州市,F 批发零售
主板,新疆合金投资股份有限公司,新疆维吾尔自治区和田市北京工业园区杭州大道2号电子产业园102室,633,合金投资,1996/11/12,"385,106,373","385,104,123",西北,新疆,和田地区,C 制造业
主板,宁夏英力特化工股份有限公司,宁夏回族自治区石嘴山市惠农区钢电路,635,英 力 特,1996/11/20,"303,087,602","303,087,602",西北,宁夏,石嘴山市,C 制造业
主板,广东风华高新科技股份有限公司,广东省肇庆市风华路18号风华电子工业城,636,风华高科,1996/11/29,"895,233,111","895,233,111",华南,广东,肇庆市,C 制造业
主板,茂名石化实华股份有限公司,广东省茂名市官渡路162号,637,茂化实华,1996/11/14,"519,875,356","366,494,967",华南,广东,茂名市,C 制造业
主板,万方城镇投资发展股份有限公司,吉林省白山市江源区江源大街30号,638,万方发展,1996/11/26,"309,400,000","308,159,050",东北,吉林,白山市,I 信息技术
主板,西王食品股份有限公司,山东省滨州市邹平县西王工业园,639,西王食品,1996/11/26,"1,079,428,095","1,079,426,772",华东,山东,滨州市,C 制造业
主板,仁和药业股份有限公司,江西省南昌市高新开发区京东北大道399号,650,仁和药业,1996/12/10,"1,399,938,234","1,180,393,145",华东,江西,南昌市,C 制造业
主板,珠海格力电器股份有限公司,广东省珠海市前山金鸡西路,651,格力电器,1996/11/18,"6,015,730,878","5,969,908,834",华南,广东,珠海市,C 制造业
主板,天津泰达股份有限公司,天津市开发区第三大街16号,652,泰达股份,1996/11/28,"1,475,573,852","1,474,356,969",华北,天津,天津市,F 批发零售
主板,山东金岭矿业股份有限公司,山东省淄博市张店区中埠镇,655,金岭矿业,1996/11/28,"595,340,230","595,340,230",华东,山东,淄博市,B 采矿业
主板,金科地产集团股份有限公司,重庆市江北区复盛镇正街（政府大楼）,656,金科股份,1996/11/28,"5,339,715,816","5,277,461,006",西南,重庆,重庆市,K 房地产
主板,中钨高新材料股份有限公司,海南省海口市龙昆北路2号珠江广场帝都大厦18楼,657,中钨高新,1996/12/5,"1,054,290,442","773,520,517",华南,海南,海口市,C 制造业
主板,珠海中富实业股份有限公司,广东省珠海市保税区1号地三号厂房201号,659,珠海中富,1996/12/3,"1,285,702,520","1,285,702,520",华南,广东,珠海市,C 制造业
主板,长春高新技术产业（集团）股份有限公司,吉林省长春市同志街2400号火炬大厦五层,661,长春高新,1996/12/18,"404,720,290","355,182,558",东北,吉林,长春市,C 制造业
主板,天夏智慧城市科技股份有限公司,广西壮族自治区梧州市新兴二路137号,662,*ST天夏,1996/12/16,"1,093,097,734","1,093,097,734",华南,广西,梧州市,I 信息技术
主板,福建省永安林业(集团)股份有限公司,福建省永安市燕江东路819号,663,*ST永林,1996/12/6,"336,683,929","280,200,791",华东,福建,三明市,C 制造业
